nodes,min_pairs,max_pairs,samples
200,10,30,300
200,30,40,500
200,50,150,500
300,15,50,500
300,50,80,800
300,60,250,800
300,60,100,1000
500,20,50,500
500,50,80,1000
500,70,400,1000
700,25,60,500
700,60,100,1000
700,100,500,1000
900,20,55,2000
900,55,100,2000
900,100,800,2000
1000,25,150,3000
1000,100,700,3000
